GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,EconomicNatureFilter,0,3,0,0,0,1,0,1,0,1
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,ExpenditureItemService.GetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,FunctionalAccountService.FunctionalAccountCreateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,ActCategoryDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,FunctionalAccountService.GetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,ExpenditureItemFilter,9,99,0,0,0,26,3,16,3,16
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,FundingSourceService.GetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,ResourceItemDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,ExpenditureActivityService.GetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,LocalityService.LocalityCreateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,BudgetItemService.BudgetItemUpdateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,BudgetItemService.GetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,ResourceActivityFilter,0,3,0,0,0,1,0,1,0,1
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,ResourceActivityDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,LessorClient,0,89,0,0,0,19,0,8,0,8
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,LocalityFilter,0,3,0,0,0,1,0,1,0,1
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,AdministrativeUnitClient,0,242,0,0,0,51,0,20,0,20
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,ResourceActivityService.GetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,AdministrativeUnitFilter,0,3,0,0,0,1,0,1,0,1
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,ExpenditureActivityFilter,0,3,0,0,0,1,0,1,0,1
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,FunctionalAccountDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,FundingSourceClient,0,89,0,0,0,19,0,8,0,8
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,ActCategoryClient,0,89,0,0,0,19,0,8,0,8
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,ExerciseService.GetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,AdministrativeUnitService.AdministrativeUnitUpdateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,BudgetItemClient,0,242,0,0,0,51,0,20,0,20
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,AbstractExpenditureOrResourceItemFilter,6,71,0,0,0,20,2,12,2,12
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,ExpenditureItemDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,ResourceItemFilter,3,43,0,0,0,13,1,8,1,8
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,AbstractExpenditureOrResourceItemDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,ResourceItemClient,0,89,0,0,0,19,0,8,0,8
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,BudgetItemFilter,0,3,0,0,0,1,0,1,0,1
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,LocalityService.GetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,ResourceItemService.GetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,LessorDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,EconomicNatureDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,ExerciseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,ExpenditureItemClient,0,89,0,0,0,19,0,8,0,8
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,BudgetItemService.BudgetItemCreateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,EconomicNatureClient,0,89,0,0,0,19,0,8,0,8
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,BudgetCategoryDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,BudgetCategoryService.GetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,AdministrativeUnitDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,ExerciseClient,0,89,0,0,0,19,0,8,0,8
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,BudgetCategoryClient,0,89,0,0,0,19,0,8,0,8
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,FunctionalAccountClient,0,242,0,0,0,51,0,20,0,20
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,LocalityService.LocalityUpdateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,ExpenditureActivityDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,LessorFilter,0,3,0,0,0,1,0,1,0,1
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,FundingSourceFilter,0,3,0,0,0,1,0,1,0,1
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,ActCategoryService.GetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,FundingSourceDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,ResourceActivityClient,0,89,0,0,0,19,0,8,0,8
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,ExpenditureActivityClient,0,89,0,0,0,19,0,8,0,8
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,AdministrativeUnitService.GetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,LessorService.GetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,FunctionalAccountService.FunctionalAccountUpdateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,BudgetItemDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,FunctionalAccountFilter,0,15,0,0,0,7,0,4,0,4
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,AdministrativeUnitService.AdministrativeUnitCreateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,EconomicNatureService.GetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,LocalityDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,ActCategoryFilter,0,3,0,0,0,1,0,1,0,1
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,ExerciseFilter,0,3,0,0,0,1,0,1,0,1
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,BudgetCategoryFilter,0,3,0,0,0,1,0,1,0,1
API du serveur du module de classification budgétaire,ci.gouv.dgbf.system.budgetaryclassification.server.api,LocalityClient,0,242,0,0,0,51,0,20,0,20
