GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,ProgrammingDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,ProgrammingExpenditureRequestMapperImpl,0,63,0,4,0,18,0,5,0,3
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,ProgrammingFilter,0,3,0,0,0,1,0,1,0,1
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,RevenueService.RevenueCreateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,ExpenditureDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,ProgrammingService.ProgrammingCreateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,ProgrammingTypeService.ProgrammingTypeCreateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,ProgrammingExerciseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,ProgrammingImputationClient,0,187,0,0,0,36,0,16,0,16
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,ImputationLockService.ImputationLockGetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,ProgrammingRevenueClient,0,187,0,0,0,36,0,16,0,16
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,ExpenditureFilter,0,3,0,0,0,1,0,1,0,1
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,ProgrammingService.ProgrammingGetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,ProgrammingTypeDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,ProgrammingRevenueService.ProgrammingRevenueCreateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,ProgrammingRevenueService.ProgrammingRevenueUpdateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,ProgrammingTypeService.ProgrammingTypeGetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,RevenueClient,0,187,0,0,0,36,0,16,0,16
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,ProgrammingExpenditureDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,ProgrammingImputationDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,ExpenditureService.ExpenditureGetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,ProgrammingRevenueService.ProgrammingRevenueGetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,ProgrammingExpenditureService.ProgrammingExpenditureCreateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,ProgrammingExerciseFilter,0,3,0,0,0,1,0,1,0,1
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,RevenueService.RevenueUpdateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,ImputationLockDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,ProgrammingTypeFilter,0,3,0,0,0,1,0,1,0,1
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,ProgrammingImputationFilter,0,3,0,0,0,1,0,1,0,1
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,ProgrammingImputationService.ProgrammingImputationCreateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,ImputationLockFilter,0,3,0,0,0,1,0,1,0,1
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,ProgrammingExerciseService.ProgrammingExerciseCreateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,ImputationLockService.ImputationLockCreateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,ProgrammingExerciseRequestMapperImpl,0,63,0,4,0,18,0,5,0,3
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,ProgrammingExpenditureClient,0,187,0,0,0,36,0,16,0,16
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,ProgrammingClient,0,187,0,0,0,36,0,16,0,16
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,ProgrammingRevenueDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,ProgrammingTypeRequestMapperImpl,0,43,0,4,0,14,0,5,0,3
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,RevenueFilter,0,3,0,0,0,1,0,1,0,1
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,ProgrammingRevenueFilter,0,3,0,0,0,1,0,1,0,1
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,ProgrammingExpenditureService.ProgrammingExpenditureUpdateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,ExpenditureRequestMapperImpl,0,87,0,4,0,24,0,5,0,3
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,ExpenditureService.ExpenditureCreateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,ImputationLockRequestMapperImpl,0,107,0,4,0,30,0,5,0,3
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,ProgrammingTypeClient,0,187,0,0,0,36,0,16,0,16
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,ProgrammingExpenditureFilter,0,3,0,0,0,1,0,1,0,1
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,ImputationLockClient,0,187,0,0,0,36,0,16,0,16
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,ProgrammingStatus,12,149,0,0,0,27,1,5,1,5
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,ExpenditureService.ExpenditureUpdateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,ProgrammingExerciseService.ProgrammingExerciseGetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,RevenueRequestMapperImpl,0,87,0,4,0,24,0,5,0,3
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,ProgrammingRevenueRequestMapperImpl,0,63,0,4,0,18,0,5,0,3
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,ProgrammingExerciseService.ProgrammingExerciseUpdateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,ImputationLockService.ImputationLockUpdateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,ProgrammingRequestMapperImpl,0,67,0,4,0,20,0,5,0,3
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,RevenueDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,ProgrammingImputationRequestMapperImpl,0,71,0,4,0,20,0,5,0,3
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,ProgrammingService.ProgrammingUpdateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,ProgrammingTypeService.ProgrammingTypeUpdateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,ProgrammingExerciseClient,0,187,0,0,0,36,0,16,0,16
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,ProgrammingImputationService.ProgrammingImputationUpdateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,ExpenditureClient,0,187,0,0,0,36,0,16,0,16
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,ProgrammingImputationService.ProgrammingImputationGetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,RevenueService.RevenueGetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de programmation budgétaire,ci.gouv.dgbf.system.budgetaryprogramming.server.api,ProgrammingExpenditureService.ProgrammingExpenditureGetManyResponseDto,0,3,0,0,0,1,0,1,0,1
