GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
API du serveur du module ceadp,ci.gouv.dgbf.system.ceadp.server.api,FolderService.GetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module ceadp,ci.gouv.dgbf.system.ceadp.server.api,FolderDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module ceadp,ci.gouv.dgbf.system.ceadp.server.api,FolderTypeFilter,0,3,0,0,0,1,0,1,0,1
API du serveur du module ceadp,ci.gouv.dgbf.system.ceadp.server.api,FolderTypeService.GetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module ceadp,ci.gouv.dgbf.system.ceadp.server.api,FolderTypeClient,0,242,0,0,0,51,0,20,0,20
API du serveur du module ceadp,ci.gouv.dgbf.system.ceadp.server.api,FolderTypeDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module ceadp,ci.gouv.dgbf.system.ceadp.server.api,FolderTypeService.FolderTypeUpdateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module ceadp,ci.gouv.dgbf.system.ceadp.server.api,FolderService.FolderCreateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module ceadp,ci.gouv.dgbf.system.ceadp.server.api,FolderTypeService.FolderTypeCreateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module ceadp,ci.gouv.dgbf.system.ceadp.server.api,FolderFilter,0,3,0,0,0,1,0,1,0,1
API du serveur du module ceadp,ci.gouv.dgbf.system.ceadp.server.api,FolderClient,0,242,0,0,0,51,0,20,0,20
API du serveur du module ceadp,ci.gouv.dgbf.system.ceadp.server.api,FolderService.FolderUpdateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module ceadp,ci.gouv.dgbf.system.ceadp.server.api,FolderStatus,0,55,0,0,0,13,0,5,0,5
