GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
API du serveur du module d'acte de gestion de crédits,ci.gouv.dgbf.system.creditmanagementact.server.api,ExpenditureMovementService.GetManyResponseDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module d'acte de gestion de crédits,ci.gouv.dgbf.system.creditmanagementact.server.api,ActAdministrationStatus,85,0,0,0,18,0,5,0,5,0
API du serveur du module d'acte de gestion de crédits,ci.gouv.dgbf.system.creditmanagementact.server.api,ActService.ActStatusUpdateResponseDto,63,0,0,0,11,0,2,0,2,0
API du serveur du module d'acte de gestion de crédits,ci.gouv.dgbf.system.creditmanagementact.server.api,MovementNature,0,48,0,0,0,11,0,5,0,5
API du serveur du module d'acte de gestion de crédits,ci.gouv.dgbf.system.creditmanagementact.server.api,ExpenditureMovementClient,248,0,0,0,54,0,20,0,20,0
API du serveur du module d'acte de gestion de crédits,ci.gouv.dgbf.system.creditmanagementact.server.api,ActService.ActUpdateRequestDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module d'acte de gestion de crédits,ci.gouv.dgbf.system.creditmanagementact.server.api,ActDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module d'acte de gestion de crédits,ci.gouv.dgbf.system.creditmanagementact.server.api,ResourceMovementService.ResourceMovementCreateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module d'acte de gestion de crédits,ci.gouv.dgbf.system.creditmanagementact.server.api,ExpenditureMovementService.ExpenditureMovementCreateManyRequestDto,14,0,2,0,4,0,3,0,2,0
API du serveur du module d'acte de gestion de crédits,ci.gouv.dgbf.system.creditmanagementact.server.api,ExpenditureMovementService.MovementDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module d'acte de gestion de crédits,ci.gouv.dgbf.system.creditmanagementact.server.api,ExpenditureMovementService.ExpenditureMovementCreateRequestDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module d'acte de gestion de crédits,ci.gouv.dgbf.system.creditmanagementact.server.api,ActClient.ActStatusUpdateExecutor,8,0,0,0,3,0,1,0,1,0
API du serveur du module d'acte de gestion de crédits,ci.gouv.dgbf.system.creditmanagementact.server.api,ActService.GetManyResponseDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module d'acte de gestion de crédits,ci.gouv.dgbf.system.creditmanagementact.server.api,AbstractMovementDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module d'acte de gestion de crédits,ci.gouv.dgbf.system.creditmanagementact.server.api,ResourceMovementDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module d'acte de gestion de crédits,ci.gouv.dgbf.system.creditmanagementact.server.api,ExpenditureMovementService.ExpenditureMovementUpdateRequestDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module d'acte de gestion de crédits,ci.gouv.dgbf.system.creditmanagementact.server.api,ResourceMovementService.ResourceMovementUpdateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module d'acte de gestion de crédits,ci.gouv.dgbf.system.creditmanagementact.server.api,ActClient,483,0,0,0,94,0,42,0,42,0
API du serveur du module d'acte de gestion de crédits,ci.gouv.dgbf.system.creditmanagementact.server.api,ResourceMovementClient,0,248,0,0,0,53,0,20,0,20
API du serveur du module d'acte de gestion de crédits,ci.gouv.dgbf.system.creditmanagementact.server.api,ActFilter,3,0,0,0,1,0,1,0,1,0
API du serveur du module d'acte de gestion de crédits,ci.gouv.dgbf.system.creditmanagementact.server.api,ResourceMovementFilter,0,3,0,0,0,1,0,1,0,1
API du serveur du module d'acte de gestion de crédits,ci.gouv.dgbf.system.creditmanagementact.server.api,ActStatus,202,0,0,0,36,0,5,0,5,0
API du serveur du module d'acte de gestion de crédits,ci.gouv.dgbf.system.creditmanagementact.server.api,ActService.ActCreateRequestDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module d'acte de gestion de crédits,ci.gouv.dgbf.system.creditmanagementact.server.api,ExpenditureMovementFilter,77,0,0,0,19,0,14,0,14,0
API du serveur du module d'acte de gestion de crédits,ci.gouv.dgbf.system.creditmanagementact.server.api,ResourceMovementService.GetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module d'acte de gestion de crédits,ci.gouv.dgbf.system.creditmanagementact.server.api,ExpenditureMovementDto,0,3,0,0,0,1,0,1,0,1
