GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
API du serveur du module de fournisseur de données,ci.gouv.dgbf.system.dataprovider.server.api.sigp,PositionDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de fournisseur de données,ci.gouv.dgbf.system.dataprovider.server.api.sigp,SchoolDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de fournisseur de données,ci.gouv.dgbf.system.dataprovider.server.api.sigp,DepartmentDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de fournisseur de données,ci.gouv.dgbf.system.dataprovider.server.api.sigp,DirectionDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de fournisseur de données,ci.gouv.dgbf.system.dataprovider.server.api.sigp,MaritalStatusFilter,0,3,0,0,0,1,0,1,0,1
API du serveur du module de fournisseur de données,ci.gouv.dgbf.system.dataprovider.server.api.sigp,SubPrefectureFilter,0,3,0,0,0,1,0,1,0,1
API du serveur du module de fournisseur de données,ci.gouv.dgbf.system.dataprovider.server.api.sigp,AgentFilter,0,3,0,0,0,1,0,1,0,1
API du serveur du module de fournisseur de données,ci.gouv.dgbf.system.dataprovider.server.api.sigp,CategoryFilter,0,3,0,0,0,1,0,1,0,1
API du serveur du module de fournisseur de données,ci.gouv.dgbf.system.dataprovider.server.api.sigp,MunicipalityDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de fournisseur de données,ci.gouv.dgbf.system.dataprovider.server.api.sigp,MunicipalityClient,0,50,0,0,0,11,0,5,0,5
API du serveur du module de fournisseur de données,ci.gouv.dgbf.system.dataprovider.server.api.sigp,ServiceFilter,0,3,0,0,0,1,0,1,0,1
API du serveur du module de fournisseur de données,ci.gouv.dgbf.system.dataprovider.server.api.sigp,ServiceDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de fournisseur de données,ci.gouv.dgbf.system.dataprovider.server.api.sigp,RegionDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de fournisseur de données,ci.gouv.dgbf.system.dataprovider.server.api.sigp,DirectionFilter,0,3,0,0,0,1,0,1,0,1
API du serveur du module de fournisseur de données,ci.gouv.dgbf.system.dataprovider.server.api.sigp,MaritalStatusService.MaritalStatusGetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de fournisseur de données,ci.gouv.dgbf.system.dataprovider.server.api.sigp,PositionFilter,0,3,0,0,0,1,0,1,0,1
API du serveur du module de fournisseur de données,ci.gouv.dgbf.system.dataprovider.server.api.sigp,CategoryService.CategoryGetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de fournisseur de données,ci.gouv.dgbf.system.dataprovider.server.api.sigp,JobService.JobGetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de fournisseur de données,ci.gouv.dgbf.system.dataprovider.server.api.sigp,SchoolService.SchoolGetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de fournisseur de données,ci.gouv.dgbf.system.dataprovider.server.api.sigp,CategoryClient,0,50,0,0,0,11,0,5,0,5
API du serveur du module de fournisseur de données,ci.gouv.dgbf.system.dataprovider.server.api.sigp,JobFilter,0,3,0,0,0,1,0,1,0,1
API du serveur du module de fournisseur de données,ci.gouv.dgbf.system.dataprovider.server.api.sigp,MunicipalityService.MunicipalityGetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de fournisseur de données,ci.gouv.dgbf.system.dataprovider.server.api.sigp,ServiceClient,0,50,0,0,0,11,0,5,0,5
API du serveur du module de fournisseur de données,ci.gouv.dgbf.system.dataprovider.server.api.sigp,CategoryDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de fournisseur de données,ci.gouv.dgbf.system.dataprovider.server.api.sigp,SubDirectorateDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de fournisseur de données,ci.gouv.dgbf.system.dataprovider.server.api.sigp,AgentDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de fournisseur de données,ci.gouv.dgbf.system.dataprovider.server.api.sigp,RegionFilter,0,3,0,0,0,1,0,1,0,1
