GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
API du serveur du module de datastructures,ci.gouv.dgbf.system.datastructures.server.api,ValueSelectorService.ValueSelectorEvaluateResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de datastructures,ci.gouv.dgbf.system.datastructures.server.api,DomainRequestMapperImpl,0,43,0,4,0,14,0,5,0,3
API du serveur du module de datastructures,ci.gouv.dgbf.system.datastructures.server.api,ValueSourceFilter,0,3,0,0,0,1,0,1,0,1
API du serveur du module de datastructures,ci.gouv.dgbf.system.datastructures.server.api,PartitionUnitService.PartitionUnitCreateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de datastructures,ci.gouv.dgbf.system.datastructures.server.api,PartitionService.PartitionCreateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de datastructures,ci.gouv.dgbf.system.datastructures.server.api,HierarchicalRelationClient,0,195,0,0,0,38,0,18,0,18
API du serveur du module de datastructures,ci.gouv.dgbf.system.datastructures.server.api,ValueSelectorRequestMapperImpl,0,99,0,6,0,28,0,7,0,4
API du serveur du module de datastructures,ci.gouv.dgbf.system.datastructures.server.api,PartitionTypeClient,0,195,0,0,0,38,0,18,0,18
API du serveur du module de datastructures,ci.gouv.dgbf.system.datastructures.server.api,PartitionService.PartitionGetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de datastructures,ci.gouv.dgbf.system.datastructures.server.api,PartitionTypeService.PartitionTypeUpdateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de datastructures,ci.gouv.dgbf.system.datastructures.server.api,ValueSourceDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de datastructures,ci.gouv.dgbf.system.datastructures.server.api,ValueSelectorService.ValueSelectorGetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de datastructures,ci.gouv.dgbf.system.datastructures.server.api,ValueSourceService.ValueSourceGetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de datastructures,ci.gouv.dgbf.system.datastructures.server.api,PartitionUnitService.PartitionUnitCreateByNameRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de datastructures,ci.gouv.dgbf.system.datastructures.server.api,PartitionTypeDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de datastructures,ci.gouv.dgbf.system.datastructures.server.api,ValueSourceService.ValueSourceGetValuesRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de datastructures,ci.gouv.dgbf.system.datastructures.server.api,PartitionUnitFilter,0,33,0,0,0,13,0,4,0,4
API du serveur du module de datastructures,ci.gouv.dgbf.system.datastructures.server.api,ValueSourceService.ValueSourceCreateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de datastructures,ci.gouv.dgbf.system.datastructures.server.api,ValueSourceService.ValueSourceGetValuesCountResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de datastructures,ci.gouv.dgbf.system.datastructures.server.api,HierarchicalRelationFilter,0,21,0,0,0,9,0,4,0,4
API du serveur du module de datastructures,ci.gouv.dgbf.system.datastructures.server.api,HierarchyRequestMapperImpl,0,51,0,4,0,16,0,5,0,3
API du serveur du module de datastructures,ci.gouv.dgbf.system.datastructures.server.api,ValueSelectorService.ValueSelectorEvaluateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de datastructures,ci.gouv.dgbf.system.datastructures.server.api,PartitionUnitService.PartitionUnitUpdateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de datastructures,ci.gouv.dgbf.system.datastructures.server.api,DomainFilter,0,3,0,0,0,1,0,1,0,1
API du serveur du module de datastructures,ci.gouv.dgbf.system.datastructures.server.api,PartitionDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de datastructures,ci.gouv.dgbf.system.datastructures.server.api,HierarchyService.HierarchyUpdateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de datastructures,ci.gouv.dgbf.system.datastructures.server.api,PartitionService.PartitionUpdateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de datastructures,ci.gouv.dgbf.system.datastructures.server.api,ValueDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de datastructures,ci.gouv.dgbf.system.datastructures.server.api,HierarchicalRelationService.HierarchicalRelationCreateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de datastructures,ci.gouv.dgbf.system.datastructures.server.api,ValueSelectorDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de datastructures,ci.gouv.dgbf.system.datastructures.server.api,PartitionUnitService.PartitionUnitUpdateByNameRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de datastructures,ci.gouv.dgbf.system.datastructures.server.api,HierarchicalRelationService.HierarchicalRelationGetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de datastructures,ci.gouv.dgbf.system.datastructures.server.api,ValueSourceClient,0,229,0,0,0,42,0,22,0,22
API du serveur du module de datastructures,ci.gouv.dgbf.system.datastructures.server.api,HierarchyClient,0,195,0,0,0,38,0,18,0,18
API du serveur du module de datastructures,ci.gouv.dgbf.system.datastructures.server.api,PartitionRequestMapperImpl,0,63,0,4,0,18,0,5,0,3
API du serveur du module de datastructures,ci.gouv.dgbf.system.datastructures.server.api,ValueService.ValueGetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de datastructures,ci.gouv.dgbf.system.datastructures.server.api,PartitionUnitRequestMapperImpl,0,43,0,4,0,14,0,5,0,3
API du serveur du module de datastructures,ci.gouv.dgbf.system.datastructures.server.api,ValueSelectorFilter,0,21,0,0,0,9,0,4,0,4
API du serveur du module de datastructures,ci.gouv.dgbf.system.datastructures.server.api,ValueSourceService.ValueSourceUpdateRequestDto,0,3,0,0,0,1,0,1,0,1
