GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
API du serveur du module de documentation,ci.gouv.dgbf.system.documentation.server.api,DocumentTypeGroupService.DocumentTypeGroupGetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de documentation,ci.gouv.dgbf.system.documentation.server.api,DocumentationService.DocumentationUpdateTextRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de documentation,ci.gouv.dgbf.system.documentation.server.api,DocumentTypesGroupClient,0,179,0,0,0,36,0,16,0,16
API du serveur du module de documentation,ci.gouv.dgbf.system.documentation.server.api,DocumentTypeClient,0,179,0,0,0,36,0,16,0,16
API du serveur du module de documentation,ci.gouv.dgbf.system.documentation.server.api,DocumentGroupService.DocumentGroupGetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de documentation,ci.gouv.dgbf.system.documentation.server.api,DocumentDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de documentation,ci.gouv.dgbf.system.documentation.server.api,DocumentTypeGroupService.DocumentTypeGroupCreateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de documentation,ci.gouv.dgbf.system.documentation.server.api,DocumentTypeGroupService.DocumentTypeGroupUpdateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de documentation,ci.gouv.dgbf.system.documentation.server.api,DocumentationRequestMapperImpl,0,91,0,4,0,26,0,5,0,3
API du serveur du module de documentation,ci.gouv.dgbf.system.documentation.server.api,DocumentTypeService.DocumentTypeGetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de documentation,ci.gouv.dgbf.system.documentation.server.api,DocumentClient,0,179,0,0,0,36,0,16,0,16
API du serveur du module de documentation,ci.gouv.dgbf.system.documentation.server.api,DocumentTypeDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de documentation,ci.gouv.dgbf.system.documentation.server.api,DocumentService.DocumentUpdateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de documentation,ci.gouv.dgbf.system.documentation.server.api,DocumentTypeService.DocumentTypeCreateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de documentation,ci.gouv.dgbf.system.documentation.server.api,DocumentTypeRequestMapperImpl,0,51,0,4,0,16,0,5,0,3
API du serveur du module de documentation,ci.gouv.dgbf.system.documentation.server.api,DocumentTypeGroupFilter,0,3,0,0,0,1,0,1,0,1
API du serveur du module de documentation,ci.gouv.dgbf.system.documentation.server.api,DocumentGroupService.DocumentGroupCreateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de documentation,ci.gouv.dgbf.system.documentation.server.api,DocumentTypesGroupService.DocumentTypesGroupUpdateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de documentation,ci.gouv.dgbf.system.documentation.server.api,DocumentTypesGroupRequestMapperImpl,0,51,0,4,0,16,0,5,0,3
API du serveur du module de documentation,ci.gouv.dgbf.system.documentation.server.api,DocumentGroupClient,0,179,0,0,0,36,0,16,0,16
API du serveur du module de documentation,ci.gouv.dgbf.system.documentation.server.api,DocumentGroupDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de documentation,ci.gouv.dgbf.system.documentation.server.api,DocumentTypeGroupDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de documentation,ci.gouv.dgbf.system.documentation.server.api,DocumentTypesGroupService.DocumentTypesGroupGetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de documentation,ci.gouv.dgbf.system.documentation.server.api,DocumentationService.DocumentationCreateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de documentation,ci.gouv.dgbf.system.documentation.server.api,DocumentFilter,0,3,0,0,0,1,0,1,0,1
API du serveur du module de documentation,ci.gouv.dgbf.system.documentation.server.api,DocumentTypeService.DocumentTypeUpdateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de documentation,ci.gouv.dgbf.system.documentation.server.api,DocumentTypesGroupFilter,0,3,0,0,0,1,0,1,0,1
API du serveur du module de documentation,ci.gouv.dgbf.system.documentation.server.api,DocumentRequestMapperImpl,0,67,0,4,0,20,0,5,0,3
API du serveur du module de documentation,ci.gouv.dgbf.system.documentation.server.api,DocumentGroupFilter,0,3,0,0,0,1,0,1,0,1
API du serveur du module de documentation,ci.gouv.dgbf.system.documentation.server.api,DocumentService.DocumentCreateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de documentation,ci.gouv.dgbf.system.documentation.server.api,DocumentationDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de documentation,ci.gouv.dgbf.system.documentation.server.api,DocumentTypeFilter,0,3,0,0,0,1,0,1,0,1
API du serveur du module de documentation,ci.gouv.dgbf.system.documentation.server.api,DocumentService.DocumentGetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de documentation,ci.gouv.dgbf.system.documentation.server.api,DocumentGroupRequestMapperImpl,0,83,0,4,0,24,0,5,0,3
API du serveur du module de documentation,ci.gouv.dgbf.system.documentation.server.api,DocumentationService.DocumentationUpdateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de documentation,ci.gouv.dgbf.system.documentation.server.api,DocumentationClient,0,235,0,0,0,44,0,24,0,24
API du serveur du module de documentation,ci.gouv.dgbf.system.documentation.server.api,DocumentationFilter,0,15,0,0,0,7,0,4,0,4
API du serveur du module de documentation,ci.gouv.dgbf.system.documentation.server.api,DocumentGroupService.DocumentGroupUpdateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de documentation,ci.gouv.dgbf.system.documentation.server.api,DocumentTypesGroupDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de documentation,ci.gouv.dgbf.system.documentation.server.api,DocumentTypeGroupClient,0,179,0,0,0,36,0,16,0,16
API du serveur du module de documentation,ci.gouv.dgbf.system.documentation.server.api,DocumentationService.DocumentationGetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de documentation,ci.gouv.dgbf.system.documentation.server.api,DocumentTypesGroupService.DocumentTypesGroupCreateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de documentation,ci.gouv.dgbf.system.documentation.server.api,DocumentTypeGroupRequestMapperImpl,0,59,0,4,0,18,0,5,0,3
