GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
API du serveur du module de fournisseur de données,ci.gouv.dgbf.system.gateway.server.api.functionary,FunctionaryDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de fournisseur de données,ci.gouv.dgbf.system.gateway.server.api.sigp,ServiceDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de fournisseur de données,ci.gouv.dgbf.system.gateway.server.api.sigp,RegionDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de fournisseur de données,ci.gouv.dgbf.system.gateway.server.api.sigp,FunctionDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de fournisseur de données,ci.gouv.dgbf.system.gateway.server.api.sigp,DirectionService.GetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de fournisseur de données,ci.gouv.dgbf.system.gateway.server.api.sigp,CategoryDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de fournisseur de données,ci.gouv.dgbf.system.gateway.server.api.sigp,DistrictDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de fournisseur de données,ci.gouv.dgbf.system.gateway.server.api.sigp,JobService.GetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de fournisseur de données,ci.gouv.dgbf.system.gateway.server.api.sigp,MaritalStatusService.GetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de fournisseur de données,ci.gouv.dgbf.system.gateway.server.api.sigp,AgentService.GetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de fournisseur de données,ci.gouv.dgbf.system.gateway.server.api.sigp,SubDirectorateService.GetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de fournisseur de données,ci.gouv.dgbf.system.gateway.server.api.sigp,SchoolService.GetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de fournisseur de données,ci.gouv.dgbf.system.gateway.server.api.sigp,GradeDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de fournisseur de données,ci.gouv.dgbf.system.gateway.server.api.sigp,DepartmentDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de fournisseur de données,ci.gouv.dgbf.system.gateway.server.api.sigp,SubDirectorateDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de fournisseur de données,ci.gouv.dgbf.system.gateway.server.api.sigp,PositionDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de fournisseur de données,ci.gouv.dgbf.system.gateway.server.api.sigp,ServiceService.GetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de fournisseur de données,ci.gouv.dgbf.system.gateway.server.api.sigp,DistrictService.GetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de fournisseur de données,ci.gouv.dgbf.system.gateway.server.api.sigp,SubPrefectureService.GetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de fournisseur de données,ci.gouv.dgbf.system.gateway.server.api.sigp,JobDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de fournisseur de données,ci.gouv.dgbf.system.gateway.server.api.sigp,FunctionService.GetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de fournisseur de données,ci.gouv.dgbf.system.gateway.server.api.sigp,CategoryService.GetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de fournisseur de données,ci.gouv.dgbf.system.gateway.server.api.sigp,DepartmentService.GetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de fournisseur de données,ci.gouv.dgbf.system.gateway.server.api.sigp,PositionService.GetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de fournisseur de données,ci.gouv.dgbf.system.gateway.server.api.sigp,SchoolDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de fournisseur de données,ci.gouv.dgbf.system.gateway.server.api.sigp,AgentDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de fournisseur de données,ci.gouv.dgbf.system.gateway.server.api.sigp,MunicipalityDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de fournisseur de données,ci.gouv.dgbf.system.gateway.server.api.sigp,GradeService.GetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de fournisseur de données,ci.gouv.dgbf.system.gateway.server.api.sigp,DirectionDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de fournisseur de données,ci.gouv.dgbf.system.gateway.server.api.sigp,MunicipalityService.GetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de fournisseur de données,ci.gouv.dgbf.system.gateway.server.api.sigp,MaritalStatusDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de fournisseur de données,ci.gouv.dgbf.system.gateway.server.api.sigp,RegionService.GetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de fournisseur de données,ci.gouv.dgbf.system.gateway.server.api.sigp,SubPrefectureDto,0,3,0,0,0,1,0,1,0,1
