GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
API du serveur du module de rémunération,ci.gouv.dgbf.system.payroll.server.api,PayslipTemplateComponentService.PayslipTemplateComponentGetManyResponseDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module de rémunération,ci.gouv.dgbf.system.payroll.server.api,PayrollStatus,124,0,0,0,25,0,5,0,5,0
API du serveur du module de rémunération,ci.gouv.dgbf.system.payroll.server.api,FunctionMovementService.FunctionMovementUpdateRequestDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module de rémunération,ci.gouv.dgbf.system.payroll.server.api,EchelonClient,128,0,0,0,29,0,11,0,11,0
API du serveur du module de rémunération,ci.gouv.dgbf.system.payroll.server.api,GradeClassClient,128,0,0,0,29,0,11,0,11,0
API du serveur du module de rémunération,ci.gouv.dgbf.system.payroll.server.api,LocalityService.LocalityCreateRequestDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module de rémunération,ci.gouv.dgbf.system.payroll.server.api,LocalityClient,195,0,0,0,40,0,18,0,18,0
API du serveur du module de rémunération,ci.gouv.dgbf.system.payroll.server.api,PayIndexFilter,3,0,0,0,1,0,1,0,1,0
API du serveur du module de rémunération,ci.gouv.dgbf.system.payroll.server.api,EchelonDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module de rémunération,ci.gouv.dgbf.system.payroll.server.api,FunctionaryBudgetarySectionUnitClient,128,0,0,0,33,0,11,0,11,0
API du serveur du module de rémunération,ci.gouv.dgbf.system.payroll.server.api,PayslipStatus,106,0,0,0,22,0,5,0,5,0
API du serveur du module de rémunération,ci.gouv.dgbf.system.payroll.server.api,EchelonService.EchelonGetManyResponseDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module de rémunération,ci.gouv.dgbf.system.payroll.server.api,ExerciseService.ExerciseGetManyResponseDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module de rémunération,ci.gouv.dgbf.system.payroll.server.api,PayslipService.PayslipUpdateRequestDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module de rémunération,ci.gouv.dgbf.system.payroll.server.api,PayIndexMovementService.PayIndexMovementCreateRequestDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module de rémunération,ci.gouv.dgbf.system.payroll.server.api,PayslipTemplateService.PayslipTemplateCreateRequestDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module de rémunération,ci.gouv.dgbf.system.payroll.server.api,FunctionMovementService.FunctionMovementCreateRequestDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module de rémunération,ci.gouv.dgbf.system.payroll.server.api,MovementTrackingService.MovementTrackingUpdateRequestDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module de rémunération,ci.gouv.dgbf.system.payroll.server.api,BudgetarySectionUnitMovementService.BudgetarySectionUnitMovementUpdateRequestDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module de rémunération,ci.gouv.dgbf.system.payroll.server.api,PayrollService.PayrollUpdateRequestDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module de rémunération,ci.gouv.dgbf.system.payroll.server.api,FunctionaryBudgetarySectionUnitFilter,3,0,0,0,1,0,1,0,1,0
API du serveur du module de rémunération,ci.gouv.dgbf.system.payroll.server.api,LocalityMovementDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module de rémunération,ci.gouv.dgbf.system.payroll.server.api,FunctionFilter,3,0,0,0,1,0,1,0,1,0
API du serveur du module de rémunération,ci.gouv.dgbf.system.payroll.server.api,FunctionDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module de rémunération,ci.gouv.dgbf.system.payroll.server.api,PayIndexClient,128,0,0,0,29,0,11,0,11,0
API du serveur du module de rémunération,ci.gouv.dgbf.system.payroll.server.api,BudgetarySectionUnitMovementFilter,108,0,0,0,25,0,19,0,19,0
API du serveur du module de rémunération,ci.gouv.dgbf.system.payroll.server.api,FunctionService.FunctionGetManyResponseDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module de rémunération,ci.gouv.dgbf.system.payroll.server.api,PayIndexMovementService.PayIndexMovementGetManyResponseDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module de rémunération,ci.gouv.dgbf.system.payroll.server.api,RemunerableService.RemunerableUpdateRequestDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module de rémunération,ci.gouv.dgbf.system.payroll.server.api,LocalityFilter,3,0,0,0,1,0,1,0,1,0
API du serveur du module de rémunération,ci.gouv.dgbf.system.payroll.server.api,LocalityService.LocalityGetManyResponseDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module de rémunération,ci.gouv.dgbf.system.payroll.server.api,MovementTrackingService.MovementTrackingCreateRequestDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module de rémunération,ci.gouv.dgbf.system.payroll.server.api,PayslipService.PayslipCreateRequestDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module de rémunération,ci.gouv.dgbf.system.payroll.server.api,AbstractMovementTrackingIdentifiableAuditableDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module de rémunération,ci.gouv.dgbf.system.payroll.server.api,PayIndexService.PayIndexGetManyResponseDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module de rémunération,ci.gouv.dgbf.system.payroll.server.api,PayslipComponentClient,195,0,0,0,42,0,18,0,18,0
API du serveur du module de rémunération,ci.gouv.dgbf.system.payroll.server.api,GradeClassFilter,3,0,0,0,1,0,1,0,1,0
API du serveur du module de rémunération,ci.gouv.dgbf.system.payroll.server.api,MovementStatus,104,0,0,0,22,0,5,0,5,0
API du serveur du module de rémunération,ci.gouv.dgbf.system.payroll.server.api,PayslipComponentService.PayslipComponentGetManyResponseDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module de rémunération,ci.gouv.dgbf.system.payroll.server.api,PayslipTemplateComponentDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module de rémunération,ci.gouv.dgbf.system.payroll.server.api,PayIndexMovementService.PayIndexMovementUpdateRequestDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module de rémunération,ci.gouv.dgbf.system.payroll.server.api,PayslipTemplateService.PayslipTemplateUpdateRequestDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module de rémunération,ci.gouv.dgbf.system.payroll.server.api,EchelonFilter,3,0,0,0,1,0,1,0,1,0
API du serveur du module de rémunération,ci.gouv.dgbf.system.payroll.server.api,PayslipComponentDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module de rémunération,ci.gouv.dgbf.system.payroll.server.api,LocalityService.LocalityUpdateRequestDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module de rémunération,ci.gouv.dgbf.system.payroll.server.api,JobDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module de rémunération,ci.gouv.dgbf.system.payroll.server.api,MovementTrackingDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module de rémunération,ci.gouv.dgbf.system.payroll.server.api,PayIndexDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module de rémunération,ci.gouv.dgbf.system.payroll.server.api,PayIndexMovementFilter,108,0,0,0,25,0,19,0,19,0
API du serveur du module de rémunération,ci.gouv.dgbf.system.payroll.server.api,FunctionMovementService.FunctionMovementGetManyResponseDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module de rémunération,ci.gouv.dgbf.system.payroll.server.api,PayslipTemplateComponentService.PayslipTemplateComponentUpdateRequestDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module de rémunération,ci.gouv.dgbf.system.payroll.server.api,BudgetarySectionUnitMovementService.BudgetarySectionUnitMovementGetManyResponseDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module de rémunération,ci.gouv.dgbf.system.payroll.server.api,RemunerableService.RemunerableCreateRequestDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module de rémunération,ci.gouv.dgbf.system.payroll.server.api,PayslipTemplateComponentService.PayslipTemplateComponentCreateRequestDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module de rémunération,ci.gouv.dgbf.system.payroll.server.api,FunctionaryService.FunctionaryGetManyResponseDto,3,0,0,0,1,0,1,0,1,0
