GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
API du serveur du module de budgétisation de la rémunération,ci.gouv.dgbf.system.payrollbudget.server.api,PayrollPeriodGroupService.PayrollPeriodGroupGetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de budgétisation de la rémunération,ci.gouv.dgbf.system.payrollbudget.server.api,BudgetDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de budgétisation de la rémunération,ci.gouv.dgbf.system.payrollbudget.server.api,EmployeeFilter,3,39,0,0,0,10,1,7,1,7
API du serveur du module de budgétisation de la rémunération,ci.gouv.dgbf.system.payrollbudget.server.api,PayrollComponentProjectionService.PayrollComponentProjectionGetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de budgétisation de la rémunération,ci.gouv.dgbf.system.payrollbudget.server.api,AdministrativeUnitEmployeeCategoryDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de budgétisation de la rémunération,ci.gouv.dgbf.system.payrollbudget.server.api,AdministrativeUnitDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de budgétisation de la rémunération,ci.gouv.dgbf.system.payrollbudget.server.api,BudgetService.BudgetGetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de budgétisation de la rémunération,ci.gouv.dgbf.system.payrollbudget.server.api,PayrollComponentService.PayrollComponentGetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de budgétisation de la rémunération,ci.gouv.dgbf.system.payrollbudget.server.api,ExerciseClient,0,128,0,0,0,27,0,11,0,11
API du serveur du module de budgétisation de la rémunération,ci.gouv.dgbf.system.payrollbudget.server.api,ExerciseService.ExerciseGetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de budgétisation de la rémunération,ci.gouv.dgbf.system.payrollbudget.server.api,BudgetFilter,3,43,0,0,0,14,1,8,1,8
API du serveur du module de budgétisation de la rémunération,ci.gouv.dgbf.system.payrollbudget.server.api,EmployeeDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de budgétisation de la rémunération,ci.gouv.dgbf.system.payrollbudget.server.api,AdministrativeUnitEmployeeDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de budgétisation de la rémunération,ci.gouv.dgbf.system.payrollbudget.server.api,AdministrativeUnitEmployeeCategoryClient,0,128,0,0,0,27,0,11,0,11
API du serveur du module de budgétisation de la rémunération,ci.gouv.dgbf.system.payrollbudget.server.api,ExerciseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de budgétisation de la rémunération,ci.gouv.dgbf.system.payrollbudget.server.api,PayrollComponentProjectionService.PayrollComponentProjectionUpdateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de budgétisation de la rémunération,ci.gouv.dgbf.system.payrollbudget.server.api,PayrollPeriodGroupDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de budgétisation de la rémunération,ci.gouv.dgbf.system.payrollbudget.server.api,EmployeePayrollComponentFilter,3,43,0,0,0,13,1,8,1,8
API du serveur du module de budgétisation de la rémunération,ci.gouv.dgbf.system.payrollbudget.server.api,PayrollComponentProjectionClient,0,195,0,0,0,38,0,18,0,18
API du serveur du module de budgétisation de la rémunération,ci.gouv.dgbf.system.payrollbudget.server.api,BudgetService.BudgetUpdateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de budgétisation de la rémunération,ci.gouv.dgbf.system.payrollbudget.server.api,BudgetClient,0,195,0,0,0,38,0,18,0,18
API du serveur du module de budgétisation de la rémunération,ci.gouv.dgbf.system.payrollbudget.server.api,ExerciseFilter,0,23,0,0,0,9,0,4,0,4
API du serveur du module de budgétisation de la rémunération,ci.gouv.dgbf.system.payrollbudget.server.api,AdministrativeUnitEmployeeCategoryService.AdministrativeUnitEmployeeCategoryGetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de budgétisation de la rémunération,ci.gouv.dgbf.system.payrollbudget.server.api,AdministrativeUnitEmployeeFilter,0,39,0,0,0,15,0,4,0,4
API du serveur du module de budgétisation de la rémunération,ci.gouv.dgbf.system.payrollbudget.server.api,AbstractExerciseAdministrativeUnitFilter,3,43,0,0,0,13,1,8,1,8
API du serveur du module de budgétisation de la rémunération,ci.gouv.dgbf.system.payrollbudget.server.api,EmployeePayrollComponentDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de budgétisation de la rémunération,ci.gouv.dgbf.system.payrollbudget.server.api,PayrollPeriodGroupFilter,0,3,0,0,0,1,0,1,0,1
API du serveur du module de budgétisation de la rémunération,ci.gouv.dgbf.system.payrollbudget.server.api,PayrollComponentProjectionService.PayrollComponentProjectionCreateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de budgétisation de la rémunération,ci.gouv.dgbf.system.payrollbudget.server.api,AdministrativeUnitEmployeeCategoryFilter,0,27,0,0,0,11,0,4,0,4
API du serveur du module de budgétisation de la rémunération,ci.gouv.dgbf.system.payrollbudget.server.api,AdministrativeUnitClient,0,128,0,0,0,27,0,11,0,11
API du serveur du module de budgétisation de la rémunération,ci.gouv.dgbf.system.payrollbudget.server.api,PayrollComponentFilter,0,3,0,0,0,1,0,1,0,1
API du serveur du module de budgétisation de la rémunération,ci.gouv.dgbf.system.payrollbudget.server.api,EmployeeCategoryDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de budgétisation de la rémunération,ci.gouv.dgbf.system.payrollbudget.server.api,BudgetAdministrativeUnitClient,0,128,0,0,0,27,0,11,0,11
API du serveur du module de budgétisation de la rémunération,ci.gouv.dgbf.system.payrollbudget.server.api,EmployeeService.EmployeeGetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de budgétisation de la rémunération,ci.gouv.dgbf.system.payrollbudget.server.api,AdministrativeUnitEmployeeService.AdministrativeUnitEmployeeGetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de budgétisation de la rémunération,ci.gouv.dgbf.system.payrollbudget.server.api,BudgetAdministrativeUnitService.BudgetAdministrativeUnitGetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de budgétisation de la rémunération,ci.gouv.dgbf.system.payrollbudget.server.api,EmployeePayrollComponentClient,0,128,0,0,0,27,0,11,0,11
API du serveur du module de budgétisation de la rémunération,ci.gouv.dgbf.system.payrollbudget.server.api,PayrollComponentProjectionDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de budgétisation de la rémunération,ci.gouv.dgbf.system.payrollbudget.server.api,PayrollComponentProjectionFilter,6,71,0,0,0,19,2,12,2,12
API du serveur du module de budgétisation de la rémunération,ci.gouv.dgbf.system.payrollbudget.server.api,AbstractExerciseFilter,6,71,0,0,0,19,2,12,2,12
API du serveur du module de budgétisation de la rémunération,ci.gouv.dgbf.system.payrollbudget.server.api,BudgetAdministrativeUnitDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de budgétisation de la rémunération,ci.gouv.dgbf.system.payrollbudget.server.api,PayrollComponentDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de budgétisation de la rémunération,ci.gouv.dgbf.system.payrollbudget.server.api,AdministrativeUnitEmployeeClient,0,128,0,0,0,27,0,11,0,11
API du serveur du module de budgétisation de la rémunération,ci.gouv.dgbf.system.payrollbudget.server.api,BudgetAdministrativeUnitFilter,0,27,0,0,0,11,0,4,0,4
API du serveur du module de budgétisation de la rémunération,ci.gouv.dgbf.system.payrollbudget.server.api,EmployeePayrollComponentService.EmployeePayrollComponentGetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de budgétisation de la rémunération,ci.gouv.dgbf.system.payrollbudget.server.api,BudgetRequestMapperImpl,0,51,0,4,0,16,0,5,0,3
API du serveur du module de budgétisation de la rémunération,ci.gouv.dgbf.system.payrollbudget.server.api,EmployeeClient,0,128,0,0,0,27,0,11,0,11
API du serveur du module de budgétisation de la rémunération,ci.gouv.dgbf.system.payrollbudget.server.api,AdministrativeUnitService.AdministrativeUnitGetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de budgétisation de la rémunération,ci.gouv.dgbf.system.payrollbudget.server.api,AbstractExerciseAdministrativeUnitEmployeeFilter,3,43,0,0,0,13,1,8,1,8
API du serveur du module de budgétisation de la rémunération,ci.gouv.dgbf.system.payrollbudget.server.api,BudgetService.BudgetCreateRequestDto,0,3,0,0,0,1,0,1,0,1
