GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
API du serveur du module Réclamation des éléments de paie,ci.gouv.dgbf.system.payrollelementrequest.server.api,PayrollElementClaimTypeGroupService.PayrollElementClaimTypeGroupCreateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module Réclamation des éléments de paie,ci.gouv.dgbf.system.payrollelementrequest.server.api,ProcessingEntityService.ProcessingEntityGetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module Réclamation des éléments de paie,ci.gouv.dgbf.system.payrollelementrequest.server.api,PayrollElementClaimTypeRequestMapperImpl,0,91,0,4,0,26,0,5,0,3
API du serveur du module Réclamation des éléments de paie,ci.gouv.dgbf.system.payrollelementrequest.server.api,PayrollElementClaimTypeGroupClient,0,187,0,0,0,38,0,18,0,18
API du serveur du module Réclamation des éléments de paie,ci.gouv.dgbf.system.payrollelementrequest.server.api,PayrollElementClaimTypeService.PayrollElementClaimTypeCreateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module Réclamation des éléments de paie,ci.gouv.dgbf.system.payrollelementrequest.server.api,ExpectedEffectRequestMapperImpl,0,75,0,4,0,22,0,5,0,3
API du serveur du module Réclamation des éléments de paie,ci.gouv.dgbf.system.payrollelementrequest.server.api,ProcessingEntityFilter,3,43,0,0,0,12,1,8,1,8
API du serveur du module Réclamation des éléments de paie,ci.gouv.dgbf.system.payrollelementrequest.server.api,ExpectedEffectService.ExpectedEffectCreateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module Réclamation des éléments de paie,ci.gouv.dgbf.system.payrollelementrequest.server.api,ClaimTypeObjectFilter,3,49,0,0,0,15,1,8,1,8
API du serveur du module Réclamation des éléments de paie,ci.gouv.dgbf.system.payrollelementrequest.server.api,ExpectedEffectDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module Réclamation des éléments de paie,ci.gouv.dgbf.system.payrollelementrequest.server.api,PayrollElementClaimTypeGroupFilter,0,3,0,0,0,1,0,1,0,1
API du serveur du module Réclamation des éléments de paie,ci.gouv.dgbf.system.payrollelementrequest.server.api,ExpectedEffectFilter,0,21,0,0,0,9,0,4,0,4
API du serveur du module Réclamation des éléments de paie,ci.gouv.dgbf.system.payrollelementrequest.server.api,PayrollElementClaimTypeFilter,6,71,0,0,0,19,2,12,2,12
API du serveur du module Réclamation des éléments de paie,ci.gouv.dgbf.system.payrollelementrequest.server.api,PayrollElementClaimTypeDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module Réclamation des éléments de paie,ci.gouv.dgbf.system.payrollelementrequest.server.api,ClaimTypeObjectService.ClaimTypeObjectCreateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module Réclamation des éléments de paie,ci.gouv.dgbf.system.payrollelementrequest.server.api,ProcessingEntityRequestMapperImpl,0,59,0,4,0,18,0,5,0,3
API du serveur du module Réclamation des éléments de paie,ci.gouv.dgbf.system.payrollelementrequest.server.api,ClaimTypeObjectService.ClaimTypeObjectUpdateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module Réclamation des éléments de paie,ci.gouv.dgbf.system.payrollelementrequest.server.api,ProcessingEntityService.ProcessingEntityUpdateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module Réclamation des éléments de paie,ci.gouv.dgbf.system.payrollelementrequest.server.api,ExpectedEffectService.ExpectedEffectUpdateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module Réclamation des éléments de paie,ci.gouv.dgbf.system.payrollelementrequest.server.api,ExpectedEffectService.ExpectedEffectGetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module Réclamation des éléments de paie,ci.gouv.dgbf.system.payrollelementrequest.server.api,ProcessingEntityClient,0,154,0,0,0,31,0,15,0,15
API du serveur du module Réclamation des éléments de paie,ci.gouv.dgbf.system.payrollelementrequest.server.api,ClaimTypeObjectDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module Réclamation des éléments de paie,ci.gouv.dgbf.system.payrollelementrequest.server.api,ClaimTypeObjectService.ClaimTypeObjectGetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module Réclamation des éléments de paie,ci.gouv.dgbf.system.payrollelementrequest.server.api,PayrollElementClaimTypeClient,0,154,0,0,0,31,0,15,0,15
API du serveur du module Réclamation des éléments de paie,ci.gouv.dgbf.system.payrollelementrequest.server.api,PayrollElementClaimTypeGroupRequestMapperImpl,0,51,0,4,0,16,0,5,0,3
API du serveur du module Réclamation des éléments de paie,ci.gouv.dgbf.system.payrollelementrequest.server.api,PayrollElementClaimTypeService.PayrollElementClaimTypeUpdateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module Réclamation des éléments de paie,ci.gouv.dgbf.system.payrollelementrequest.server.api,ExpectedEffectClient,0,187,0,0,0,38,0,18,0,18
API du serveur du module Réclamation des éléments de paie,ci.gouv.dgbf.system.payrollelementrequest.server.api,ProcessingEntityDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module Réclamation des éléments de paie,ci.gouv.dgbf.system.payrollelementrequest.server.api,ProcessingEntityService.ProcessingEntityCreateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module Réclamation des éléments de paie,ci.gouv.dgbf.system.payrollelementrequest.server.api,PayrollElementClaimTypeGroupService.PayrollElementClaimTypeGroupUpdateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module Réclamation des éléments de paie,ci.gouv.dgbf.system.payrollelementrequest.server.api,PayrollElementClaimTypeService.PayrollElementClaimTypeGetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module Réclamation des éléments de paie,ci.gouv.dgbf.system.payrollelementrequest.server.api,PayrollElementClaimTypeGroupService.PayrollElementClaimTypeGroupGetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module Réclamation des éléments de paie,ci.gouv.dgbf.system.payrollelementrequest.server.api,ClaimTypeObjectRequestMapperImpl,0,75,0,4,0,22,0,5,0,3
API du serveur du module Réclamation des éléments de paie,ci.gouv.dgbf.system.payrollelementrequest.server.api,PayrollElementClaimTypeGroupDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module Réclamation des éléments de paie,ci.gouv.dgbf.system.payrollelementrequest.server.api,ClaimTypeObjectClient,0,187,0,0,0,38,0,18,0,18
