GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
API du serveur du module de bulletin de salaire,ci.gouv.dgbf.system.payslip.server.api,PeriodService.PeriodUpdateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de bulletin de salaire,ci.gouv.dgbf.system.payslip.server.api,AmountClient,0,53,0,0,0,12,0,5,0,5
API du serveur du module de bulletin de salaire,ci.gouv.dgbf.system.payslip.server.api,PeriodGroupService.PeriodGroupCreateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de bulletin de salaire,ci.gouv.dgbf.system.payslip.server.api,PayslipDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de bulletin de salaire,ci.gouv.dgbf.system.payslip.server.api,PeriodGroupService.PeriodGroupGetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de bulletin de salaire,ci.gouv.dgbf.system.payslip.server.api,PayslipClient,0,114,0,0,0,19,0,13,0,13
API du serveur du module de bulletin de salaire,ci.gouv.dgbf.system.payslip.server.api,AbstractEmployeePeriodDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de bulletin de salaire,ci.gouv.dgbf.system.payslip.server.api,ImportablePayslipFilter,0,7,0,0,0,3,0,2,0,2
API du serveur du module de bulletin de salaire,ci.gouv.dgbf.system.payslip.server.api,PeriodDto,0,12,0,0,0,3,0,3,0,3
API du serveur du module de bulletin de salaire,ci.gouv.dgbf.system.payslip.server.api,PayslipService.PayslipGetFileIdentifierByIdentifierRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de bulletin de salaire,ci.gouv.dgbf.system.payslip.server.api,EmployeeService.EmployeeGetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de bulletin de salaire,ci.gouv.dgbf.system.payslip.server.api,PeriodGroupClient,0,242,0,0,0,51,0,20,0,20
API du serveur du module de bulletin de salaire,ci.gouv.dgbf.system.payslip.server.api,PeriodService.PeriodGetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de bulletin de salaire,ci.gouv.dgbf.system.payslip.server.api,AmountDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de bulletin de salaire,ci.gouv.dgbf.system.payslip.server.api,PeriodGroupFilter,0,3,0,0,0,1,0,1,0,1
API du serveur du module de bulletin de salaire,ci.gouv.dgbf.system.payslip.server.api,PayslipService.PayslipImportByEmployeeIdentifierRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de bulletin de salaire,ci.gouv.dgbf.system.payslip.server.api,EmployeeDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de bulletin de salaire,ci.gouv.dgbf.system.payslip.server.api,PeriodFilter,0,3,0,0,0,1,0,1,0,1
API du serveur du module de bulletin de salaire,ci.gouv.dgbf.system.payslip.server.api,PayslipService.PayslipGetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de bulletin de salaire,ci.gouv.dgbf.system.payslip.server.api,AmountTypeClient,0,72,0,0,0,14,0,8,0,8
API du serveur du module de bulletin de salaire,ci.gouv.dgbf.system.payslip.server.api,PeriodRequestMapperImpl,0,59,0,4,0,18,0,5,0,3
API du serveur du module de bulletin de salaire,ci.gouv.dgbf.system.payslip.server.api,AmountService.LoadByYearByMonthByTypeIdentifierRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de bulletin de salaire,ci.gouv.dgbf.system.payslip.server.api,ImportablePayslipDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de bulletin de salaire,ci.gouv.dgbf.system.payslip.server.api,PayslipService.PayslipImportByFunctionaryRegistrationNumberRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de bulletin de salaire,ci.gouv.dgbf.system.payslip.server.api,AmountTypeDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de bulletin de salaire,ci.gouv.dgbf.system.payslip.server.api,PeriodGroupRequestMapperImpl,0,51,0,4,0,16,0,5,0,3
API du serveur du module de bulletin de salaire,ci.gouv.dgbf.system.payslip.server.api,AmountTypeService.GetArrearageIdentifierRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de bulletin de salaire,ci.gouv.dgbf.system.payslip.server.api,EmployeeClient,0,128,0,0,0,27,0,11,0,11
API du serveur du module de bulletin de salaire,ci.gouv.dgbf.system.payslip.server.api,AmountService.LoadByYearByMonthByTypeIdentifierResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de bulletin de salaire,ci.gouv.dgbf.system.payslip.server.api,PeriodService.PeriodCreateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de bulletin de salaire,ci.gouv.dgbf.system.payslip.server.api,PayslipService.PayslipImportByUserNameRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de bulletin de salaire,ci.gouv.dgbf.system.payslip.server.api,PeriodClient,0,242,0,0,0,51,0,20,0,20
API du serveur du module de bulletin de salaire,ci.gouv.dgbf.system.payslip.server.api,ImportablePayslipClient,0,50,0,0,0,11,0,5,0,5
