GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
API du serveur du module de traitement,ci.gouv.dgbf.system.processing.server.api,ProcessingService.ProcessResponseDto,0,35,0,0,0,7,0,2,0,2
API du serveur du module de traitement,ci.gouv.dgbf.system.processing.server.api,ProcessingService.ProcessingUpdateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de traitement,ci.gouv.dgbf.system.processing.server.api,ProcessingFilter,9,101,0,0,0,22,3,16,3,16
API du serveur du module de traitement,ci.gouv.dgbf.system.processing.server.api,ProcessingStatus,0,176,0,6,0,33,0,14,0,11
API du serveur du module de traitement,ci.gouv.dgbf.system.processing.server.api,ProcessingClient,0,391,0,0,0,77,0,34,0,34
API du serveur du module de traitement,ci.gouv.dgbf.system.processing.server.api,ProcessingClient.ProcessExecutor,0,8,0,0,0,3,0,1,0,1
API du serveur du module de traitement,ci.gouv.dgbf.system.processing.server.api,ProcessingDto,0,29,0,0,0,8,0,2,0,2
API du serveur du module de traitement,ci.gouv.dgbf.system.processing.server.api,ProcessingRequestMapperImpl,0,97,0,6,0,29,0,7,0,4
API du serveur du module de traitement,ci.gouv.dgbf.system.processing.server.api,ProcessingService.ProcessingGetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de traitement,ci.gouv.dgbf.system.processing.server.api,ProcessingService.ProcessingProcessRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de traitement,ci.gouv.dgbf.system.processing.server.api,ProcessingService.ProcessingCreateRequestDto,0,3,0,0,0,1,0,1,0,1
