GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
API du serveur du module de scripting,ci.gouv.dgbf.system.scripting.server.api,ConditionalValueGroupFilter,3,0,0,0,1,0,1,0,1,0
API du serveur du module de scripting,ci.gouv.dgbf.system.scripting.server.api,ScriptClient,228,0,0,0,42,0,22,0,22,0
API du serveur du module de scripting,ci.gouv.dgbf.system.scripting.server.api,ScriptRelationService.ScriptRelationCreateRequestDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module de scripting,ci.gouv.dgbf.system.scripting.server.api,ValueReferenceService.ValueReferenceUpdateRequestDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module de scripting,ci.gouv.dgbf.system.scripting.server.api,ScriptEvaluationService.ScriptEvaluationUpdateRequestDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module de scripting,ci.gouv.dgbf.system.scripting.server.api,ConditionalValueGroupService.ConditionalValueGroupGetManyResponseDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module de scripting,ci.gouv.dgbf.system.scripting.server.api,ConstantClient,195,0,0,0,38,0,18,0,18,0
API du serveur du module de scripting,ci.gouv.dgbf.system.scripting.server.api,ConstantCategoryFilter,3,0,0,0,1,0,1,0,1,0
API du serveur du module de scripting,ci.gouv.dgbf.system.scripting.server.api,ScriptParameterService.ScriptParameterGetManyResponseDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module de scripting,ci.gouv.dgbf.system.scripting.server.api,ConditionalValueService.ConditionalValueUpdateRequestDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module de scripting,ci.gouv.dgbf.system.scripting.server.api,ScriptEvaluatorDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module de scripting,ci.gouv.dgbf.system.scripting.server.api,ScriptDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module de scripting,ci.gouv.dgbf.system.scripting.server.api,ConditionalValueDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module de scripting,ci.gouv.dgbf.system.scripting.server.api,ValueReferenceFilter,3,0,0,0,1,0,1,0,1,0
API du serveur du module de scripting,ci.gouv.dgbf.system.scripting.server.api,ScriptParameterRequestMapperImpl,59,0,4,0,18,0,5,0,3,0
API du serveur du module de scripting,ci.gouv.dgbf.system.scripting.server.api,ConstantRequestMapperImpl,67,0,4,0,20,0,5,0,3,0
API du serveur du module de scripting,ci.gouv.dgbf.system.scripting.server.api,ScriptRelationService.ScriptRelationUpdateRequestDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module de scripting,ci.gouv.dgbf.system.scripting.server.api,ConstantCategoryService.ConstantCategoryGetManyResponseDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module de scripting,ci.gouv.dgbf.system.scripting.server.api,ScriptEvaluationClient,211,0,0,0,38,0,20,0,20,0
API du serveur du module de scripting,ci.gouv.dgbf.system.scripting.server.api,ScriptEvaluationService.ScriptEvaluationCreateRequestDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module de scripting,ci.gouv.dgbf.system.scripting.server.api,ConstantGroupRequestMapperImpl,43,0,4,0,14,0,5,0,3,0
API du serveur du module de scripting,ci.gouv.dgbf.system.scripting.server.api,ScriptRelationService.ScriptRelationGetManyResponseDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module de scripting,ci.gouv.dgbf.system.scripting.server.api,ValueReferenceService.ValueReferenceCreateRequestDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module de scripting,ci.gouv.dgbf.system.scripting.server.api,ScriptEvaluationClient.ScriptEvaluationCreateExecutor,12,0,0,0,4,0,1,0,1,0
API du serveur du module de scripting,ci.gouv.dgbf.system.scripting.server.api,ScriptEvaluationFilter,7,0,0,0,4,0,2,0,2,0
API du serveur du module de scripting,ci.gouv.dgbf.system.scripting.server.api,ScriptEvaluationClient.ScriptEvaluationCreateManyExecutor,12,0,0,0,4,0,1,0,1,0
API du serveur du module de scripting,ci.gouv.dgbf.system.scripting.server.api,ContextualConstantRequestMapperImpl,87,0,4,0,24,0,5,0,3,0
