GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
API du serveur du module de ticket,ci.gouv.dgbf.system.ticket.server.api,TicketService.TicketUpdateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de ticket,ci.gouv.dgbf.system.ticket.server.api,SupportLevelService.SupportLevelCreateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de ticket,ci.gouv.dgbf.system.ticket.server.api,SupportTeamRequestMapperImpl,0,51,0,4,0,16,0,5,0,3
API du serveur du module de ticket,ci.gouv.dgbf.system.ticket.server.api,TicketPriorityService.TicketPriorityGetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de ticket,ci.gouv.dgbf.system.ticket.server.api,FunctionalDomainFilter,0,3,0,0,0,1,0,1,0,1
API du serveur du module de ticket,ci.gouv.dgbf.system.ticket.server.api,DeclarationService.DeclarationGetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de ticket,ci.gouv.dgbf.system.ticket.server.api,TicketCategoryRequestMapperImpl,0,51,0,4,0,16,0,5,0,3
API du serveur du module de ticket,ci.gouv.dgbf.system.ticket.server.api,SupportTeamClient,0,230,0,0,0,51,0,20,0,20
API du serveur du module de ticket,ci.gouv.dgbf.system.ticket.server.api,SupportLevelFilter,0,3,0,0,0,1,0,1,0,1
API du serveur du module de ticket,ci.gouv.dgbf.system.ticket.server.api,DeclarationService.DeclarationCreateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de ticket,ci.gouv.dgbf.system.ticket.server.api,TicketService.TicketCreateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de ticket,ci.gouv.dgbf.system.ticket.server.api,TicketService.ProcessResponseDto,0,7,0,0,0,3,0,2,0,2
API du serveur du module de ticket,ci.gouv.dgbf.system.ticket.server.api,DeclarationFilter,0,3,0,0,0,1,0,1,0,1
API du serveur du module de ticket,ci.gouv.dgbf.system.ticket.server.api,SupportTeamMemberService.SupportTeamMemberGetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de ticket,ci.gouv.dgbf.system.ticket.server.api,SupportTeamMemberClient,0,218,0,0,0,47,0,20,0,20
API du serveur du module de ticket,ci.gouv.dgbf.system.ticket.server.api,FunctionalDomainRequestMapperImpl,0,51,0,4,0,16,0,5,0,3
API du serveur du module de ticket,ci.gouv.dgbf.system.ticket.server.api,SupportLevelService.SupportLevelUpdateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de ticket,ci.gouv.dgbf.system.ticket.server.api,SupportTeamService.SupportTeamGetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de ticket,ci.gouv.dgbf.system.ticket.server.api,SupportTeamMemberRequestMapperImpl,0,67,0,4,0,20,0,5,0,3
API du serveur du module de ticket,ci.gouv.dgbf.system.ticket.server.api,SupportLevelRequestMapperImpl,0,59,0,4,0,18,0,5,0,3
API du serveur du module de ticket,ci.gouv.dgbf.system.ticket.server.api,DeclarationDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de ticket,ci.gouv.dgbf.system.ticket.server.api,TicketService.TicketDissatisfyRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de ticket,ci.gouv.dgbf.system.ticket.server.api,FunctionalDomainService.FunctionalDomainGetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de ticket,ci.gouv.dgbf.system.ticket.server.api,TicketService.TicketSatisfyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de ticket,ci.gouv.dgbf.system.ticket.server.api,DeclarationService.DeclarationUpdateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de ticket,ci.gouv.dgbf.system.ticket.server.api,FunctionalDomainClient,0,230,0,0,0,51,0,20,0,20
API du serveur du module de ticket,ci.gouv.dgbf.system.ticket.server.api,TicketClient,0,336,0,0,0,61,0,34,0,34
API du serveur du module de ticket,ci.gouv.dgbf.system.ticket.server.api,TicketStatus,0,149,0,0,0,26,0,5,0,5
API du serveur du module de ticket,ci.gouv.dgbf.system.ticket.server.api,TicketService.TicketClaimResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de ticket,ci.gouv.dgbf.system.ticket.server.api,TicketHistoryClient,0,122,0,0,0,27,0,11,0,11
API du serveur du module de ticket,ci.gouv.dgbf.system.ticket.server.api,TicketHistoryDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de ticket,ci.gouv.dgbf.system.ticket.server.api,TicketService.TicketGetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de ticket,ci.gouv.dgbf.system.ticket.server.api,SupportTeamService.SupportTeamCreateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de ticket,ci.gouv.dgbf.system.ticket.server.api,TicketCategoryClient,0,230,0,0,0,51,0,20,0,20
API du serveur du module de ticket,ci.gouv.dgbf.system.ticket.server.api,TicketPriorityDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de ticket,ci.gouv.dgbf.system.ticket.server.api,TicketPriorityService.TicketPriorityUpdateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de ticket,ci.gouv.dgbf.system.ticket.server.api,DeclarationService.CreateIncidentRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de ticket,ci.gouv.dgbf.system.ticket.server.api,SupportTeamMemberFilter,6,71,0,0,0,20,2,12,2,12
API du serveur du module de ticket,ci.gouv.dgbf.system.ticket.server.api,DomainLevelRequestMapperImpl,0,67,0,4,0,20,0,5,0,3
API du serveur du module de ticket,ci.gouv.dgbf.system.ticket.server.api,SupportTeamFilter,0,3,0,0,0,1,0,1,0,1
API du serveur du module de ticket,ci.gouv.dgbf.system.ticket.server.api,TicketService.TicketClaimRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de ticket,ci.gouv.dgbf.system.ticket.server.api,SupportTeamService.SupportTeamUpdateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de ticket,ci.gouv.dgbf.system.ticket.server.api,TicketPriorityRequestMapperImpl,0,51,0,4,0,16,0,5,0,3
API du serveur du module de ticket,ci.gouv.dgbf.system.ticket.server.api,TicketDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de ticket,ci.gouv.dgbf.system.ticket.server.api,FunctionalDomainService.FunctionalDomainUpdateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de ticket,ci.gouv.dgbf.system.ticket.server.api,TicketService.TicketRedirectRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de ticket,ci.gouv.dgbf.system.ticket.server.api,SupportLevelDto,0,3,0,0,0,1,0,1,0,1
