GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
API du serveur du module d'utilisateur,ci.gouv.dgbf.system.user.server.api,SsoUserRoleService.SsoUserRoleGetManyResponseDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module d'utilisateur,ci.gouv.dgbf.system.user.server.api,UserRoleService.UserRoleCreateManyResponseDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module d'utilisateur,ci.gouv.dgbf.system.user.server.api,AccountFilter,77,0,0,0,18,0,14,0,14,0
API du serveur du module d'utilisateur,ci.gouv.dgbf.system.user.server.api,UserDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module d'utilisateur,ci.gouv.dgbf.system.user.server.api,UserService.UserAssignRolesRequestDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module d'utilisateur,ci.gouv.dgbf.system.user.server.api,SsoApplicationFilter,15,0,0,0,8,0,4,0,4,0
API du serveur du module d'utilisateur,ci.gouv.dgbf.system.user.server.api,SsoApplicationService.SsoApplicationCreateRequestDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module d'utilisateur,ci.gouv.dgbf.system.user.server.api,SsoUserRoleClient,211,0,0,0,42,0,20,0,20,0
API du serveur du module d'utilisateur,ci.gouv.dgbf.system.user.server.api,UserService.UserGetManyResponseDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module d'utilisateur,ci.gouv.dgbf.system.user.server.api,DomainFilter,3,0,0,0,1,0,1,0,1,0
API du serveur du module d'utilisateur,ci.gouv.dgbf.system.user.server.api,UserRoleService.UserRoleCreateManyRequestDto,3,0,0,0,1,0,1,0,1,0
API du serveur du module d'utilisateur,ci.gouv.dgbf.system.user.server.api,UserService.UserCreateRequestDto,3,0,0,0,1,0,1,0,1,0
